name,ra,dec,diameter,mag,alias
NGC497,20.59959,-0.874722,2.1,13,
NGC498,20.79666,33.49,0.5,14.3,
NGC499,20.79792,33.459722,1.7,12.1,IC1686
NGC500,20.663745,5.387778,0.8,14.2,
NGC501,20.84334,33.433611,0.5,14.5,
NGC502,20.731665,9.049444,1.1,12.8,
NGC503,20.86833,33.332222,0.9,14.1,
NGC504,20.867085,33.203889,1.7,13,
NGC505,20.73792,9.468889,0.9,13.8,
NGC506,20.89791,33.243889,,,
NGC507,20.91666,33.256667,2.5,11.2,
NGC508,20.919585,33.280278,1.1,13.1,
NGC509,20.85042,9.433333,1.6,13.4,
NGC510,20.98125,33.4975,,,
NGC511,20.877915,11.290833,1.1,13.7,
NGC512,20.99916,33.907222,1.6,13.2,
NGC513,21.11208,33.798889,0.9,13,
NGC514,21.016245,12.917222,3.7,11.7,
NGC515,21.16125,33.472222,1.4,13,
NGC516,21.03333,9.551944,1.4,13.1,
NGC517,21.182505,33.428889,1.4,12.5,
NGC518,21.073755,9.330833,1.6,13.3,
NGC519,21.11958,-1.641389,0.5,14.3,
NGC520,21.144585,3.794167,3.4,11.4,
NGC521,21.139995,1.731389,2.7,11.7,
NGC522,21.19125,9.995,2.8,12.9,
NGC523,21.336255,34.025278,2.5,12.7,NGC537
NGC524,21.19917,9.538611,2.8,10.2,
NGC525,21.220005,9.703889,1.5,13.3,
NGC526A,20.976255,-35.065556,1.2,13.4,
NGC526B,20.987085,-35.069167,0.8,13,
NGC527,20.99166,-35.115278,1.6,13,
NGC527A,20.99625,-35.128056,0.6,14.3,
NGC528,21.39,33.670556,1.2,12.5,
NGC529,21.417495,34.713056,2.4,12.1,
NGC530,21.173745,-1.586944,1.5,13,IC106
NGC531,21.57834,34.754167,1.8,13.8,
NGC532,21.321255,9.264167,3.1,12.9,
NGC533,21.380835,1.759167,3.8,11.4,
NGC534,21.185415,-38.128889,1,13.3,
NGC535,21.37917,-1.408889,1,13.8,
NGC536,21.589995,34.703333,3.3,12.4,
NGC537,21.336255,34.025278,2.5,12.7,NGC523
NGC538,21.358755,-1.550833,1.3,13.7,
NGC539,21.34041,-18.164444,1.6,13.5,NGC563
NGC540,21.78666,-20.036667,0.9,14.5,
NGC541,21.43458,-1.379444,1.8,12.1,
NGC542,21.628755,34.676111,1,14.8,
NGC543,21.45834,-1.2925,0.6,13.1,
NGC544,21.29916,-38.094444,1.5,13.3,
NGC545,21.49584,-1.340556,2.6,12.2,
NGC546,21.302505,-38.069167,1.4,13.7,
NGC547,21.50292,-1.345,1.9,12.2,
NGC548,21.51042,-1.225278,0.8,13.7,
NGC549,21.279165,-38.007222,0.5,14.6,
NGC550,21.676665,2.022222,1.4,12.7,
NGC551,21.91917,37.183056,1.8,12.7,
NGC552,21.737505,33.557778,,14.6,
NGC553,21.762495,33.548611,,14.8,
NGC554,21.790005,-22.725556,0.9,13.6,
NGC554A,21.789585,-22.723611,0.3,13.8,
NGC555,21.79875,-22.761667,0.7,14.1,
NGC556,21.80208,-22.697222,0.4,14.5,
NGC557,21.60459,-1.638333,1.8,13.5,IC1703
NGC558,21.81708,-1.970556,0.4,14.3,
